

X [ m ], Y [ m ], Z [ m ]
7.54437642e-04, 7.28701428e-03, -5.22333980e-01
8.06867261e-04, 7.43078068e-03, -5.22380948e-01
7.34484696e-04, 7.50969024e-03, -5.22500038e-01
3.64748575e-03, 6.01762068e-03, -5.22893965e-01
3.60902655e-03, 5.99079905e-03, -5.22739410e-01
3.62475729e-03, 5.87844709e-03, -5.22878945e-01
3.64244054e-03, 5.81202563e-03, -5.23039341e-01
3.66572104e-03, 5.96210780e-03, -5.23022294e-01
3.41936667e-03, 1.31765194e-02, -5.30451059e-01
3.48534668e-03, 1.32988282e-02, -5.30387282e-01
3.53685697e-03, 1.32401828e-02, -5.30519783e-01
3.59850633e-03, 1.31809572e-02, -5.30649841e-01
3.47720459e-03, 1.31117124e-02, -5.30578434e-01
4.86254692e-03, 1.02387872e-02, -5.29255509e-01
4.92844218e-03, 1.03510153e-02, -5.29316425e-01
4.96074185e-03, 1.03148082e-02, -5.29189289e-01
4.99583641e-03, 1.02666412e-02, -5.29051602e-01
4.89411829e-03, 1.01946611e-02, -5.29132962e-01
6.17498020e-03, 1.12067275e-02, -5.26478529e-01
6.13612868e-03, 1.13740442e-02, -5.26550770e-01
6.15189411e-03, 1.13558415e-02, -5.26347458e-01
6.20108657e-03, 1.10684168e-02, -5.26385605e-01
6.18559681e-03, 1.11991325e-02, -5.26328266e-01
3.58660379e-03, 9.38963890e-03, -5.29744208e-01
3.50904628e-03, 9.25301388e-03, -5.29695034e-01
3.43166851e-03, 9.34965815e-03, -5.29788315e-01
3.45578627e-03, 9.12593026e-03, -5.29637933e-01
3.36206960e-03, 9.21713468e-03, -5.29730678e-01
6.23384351e-03, 1.04363449e-02, -5.26482582e-01
6.24735281e-03, 1.05283391e-02, -5.26364684e-01
6.24929974e-03, 1.03439735e-02, -5.26294947e-01
6.22535776e-03, 1.02927433e-02, -5.26512921e-01
6.21277234e-03, 1.03626968e-02, -5.26641667e-01
6.24975376e-03, 1.08174877e-02, -5.26114881e-01
6.22055819e-03, 1.09752482e-02, -5.25964975e-01
6.24068221e-03, 1.08297709e-02, -5.25904357e-01
5.50776999e-03, 9.43450164e-03, -5.27833819e-01
5.39571326e-03, 9.35286470e-03, -5.27912498e-01
5.43045858e-03, 9.50424094e-03, -5.27946889e-01
5.27790794e-03, 9.27308854e-03, -5.27992547e-01
5.31293778e-03, 9.41980444e-03, -5.28026938e-01
5.55942021e-03, 1.28640654e-02, -5.27988076e-01
5.64802252e-03, 1.27550224e-02, -5.28059900e-01
5.60730929e-03, 1.29155545e-02, -5.28103530e-01
5.50205028e-03, 1.28297107e-02, -5.27831078e-01
5.59181813e-03, 1.27201779e-02, -5.27912378e-01
5.14980825e-03, 1.30654834e-02, -5.27398467e-01
5.18455263e-03, 1.30934799e-02, -5.27553558e-01
5.07975928e-03, 1.31799178e-02, -5.27484715e-01
5.11849392e-03, 1.30394213e-02, -5.27239144e-01
5.04324678e-03, 1.31504554e-02, -5.27316332e-01
4.67447611e-03, 1.01509877e-02, -5.29475272e-01
4.66073118e-03, 1.00473184e-02, -5.29337406e-01
