X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
2.80133504e-02, -2.54905298e-02, -4.87485915e-01, 1.19053658e+02, 0.00000000e+00
2.80513465e-02, -2.54381504e-02, -4.87344295e-01, 1.18598686e+02, 0.00000000e+00
2.81217992e-02, -2.55655851e-02, -4.87408876e-01, 1.18619965e+02, 0.00000000e+00
2.79107820e-02, -2.54137293e-02, -4.87560958e-01, 1.19489075e+02, 0.00000000e+00
2.79747620e-02, -2.55314019e-02, -4.87630934e-01, 1.19485748e+02, 0.00000000e+00
2.81596333e-02, -2.55212225e-02, -4.87270951e-01, 1.18155022e+02, 0.00000000e+00
2.82317400e-02, -2.56428886e-02, -4.87334222e-01, 1.18229645e+02, 0.00000000e+00
2.82768179e-02, -2.56008673e-02, -4.87185538e-01, 1.17779442e+02, 0.00000000e+00
2.80468017e-02, -2.56489255e-02, -4.87709194e-01, 1.19493835e+02, 0.00000000e+00
2.79448181e-02, -2.55653653e-02, -4.87782568e-01, 1.19924995e+02, 0.00000000e+00
2.81550270e-02, -2.57311799e-02, -4.87633049e-01, 1.19118774e+02, 0.00000000e+00
2.81268694e-02, -2.57635918e-02, -4.87790704e-01, 1.19532593e+02, 0.00000000e+00
2.87003182e-02, -2.57719662e-02, -4.86633211e-01, 1.16107079e+02, 0.00000000e+00
2.87849493e-02, -2.58711744e-02, -4.86717373e-01, 1.16542175e+02, 0.00000000e+00
2.88038887e-02, -2.58554276e-02, -4.86553222e-01, 1.16177650e+02, 0.00000000e+00
2.88956501e-02, -2.59527918e-02, -4.86633986e-01, 1.16697350e+02, 0.00000000e+00
2.87546683e-02, -2.59076506e-02, -4.86874819e-01, 1.16910400e+02, 0.00000000e+00
2.86722630e-02, -2.57957727e-02, -4.86795247e-01, 1.16550812e+02, 0.00000000e+00
2.88693979e-02, -2.59823594e-02, -4.86798704e-01, 1.16967491e+02, 0.00000000e+00
2.85922140e-02, -2.56938897e-02, -4.86719549e-01, 1.16228210e+02, 0.00000000e+00
2.86100656e-02, -2.56775003e-02, -4.86552715e-01, 1.15690407e+02, 0.00000000e+00
2.87088361e-02, -2.57693417e-02, -4.86470520e-01, 1.15646324e+02, 0.00000000e+00
2.90421322e-02, -2.64147557e-02, -4.87336189e-01, 1.18565559e+02, 0.00000000e+00
2.89818663e-02, -2.64447704e-02, -4.87492353e-01, 1.18835846e+02, 0.00000000e+00
2.91211996e-02, -2.65133232e-02, -4.87424165e-01, 1.18918823e+02, 0.00000000e+00
2.89341863e-02, -2.63538249e-02, -4.87381488e-01, 1.18534546e+02, 0.00000000e+00
2.90724952e-02, -2.65395008e-02, -4.87583220e-01, 1.19178955e+02, 0.00000000e+00
2.89283078e-02, -2.64651943e-02, -4.87645924e-01, 1.19169228e+02, 0.00000000e+00
2.89652925e-02, -2.63107754e-02, -4.87256765e-01, 1.18231133e+02, 0.00000000e+00
2.88378093e-02, -2.62541045e-02, -4.87341583e-01, 1.18308014e+02, 0.00000000e+00
2.88848914e-02, -2.61983238e-02, -4.87176865e-01, 1.17914223e+02, 0.00000000e+00
2.86849719e-02, -2.63382196e-02, -4.87852663e-01, 1.19640953e+02, 0.00000000e+00
2.88096480e-02, -2.64061280e-02, -4.87728804e-01, 1.19344704e+02, 0.00000000e+00
2.86948942e-02, -2.63026487e-02, -4.87690002e-01, 1.19198677e+02, 0.00000000e+00
2.89151017e-02, -2.64973119e-02, -4.87821788e-01, 1.19611351e+02, 0.00000000e+00
2.97678374e-02, -2.69886777e-02, -4.88240153e-01, 1.23891197e+02, 0.00000000e+00
2.96339095e-02, -2.69280653e-02, -4.88199085e-01, 1.22901146e+02, 0.00000000e+00
2.96563562e-02, -2.69229412e-02, -4.88354713e-01, 1.23311348e+02, 0.00000000e+00
2.95125097e-02, -2.68589351e-02, -4.88302320e-01, 1.22417503e+02, 0.00000000e+00
2.94929743e-02, -2.68604681e-02, -4.88132060e-01, 1.21987213e+02, 0.00000000e+00
2.96016410e-02, -2.69195177e-02, -4.88036573e-01, 1.22435066e+02, 0.00000000e+00
2.92828307e-02, -2.67135762e-02, -4.88531888e-01, 1.22145996e+02, 0.00000000e+00
2.91774161e-02, -2.66394392e-02, -4.88643259e-01, 1.22286682e+02, 0.00000000e+00
2.93139964e-02, -2.66944803e-02, -4.88700688e-01, 1.22615967e+02, 0.00000000e+00
2.92018130e-02, -2.66128406e-02, -4.88806635e-01, 1.22741066e+02, 0.00000000e+00
2.90462412e-02, -2.65778881e-02, -4.88582611e-01, 1.22027321e+02, 0.00000000e+00
2.91505586e-02, -2.66529191e-02, -4.88475561e-01, 1.21795723e+02, 0.00000000e+00
2.94211190e-02, -2.67709661e-02, -4.88588333e-01, 1.22604065e+02, 0.00000000e+00
2.93947197e-02, -2.67874878e-02, -4.88417566e-01, 1.22151711e+02, 0.00000000e+00
2.95324717e-02, -2.68439520e-02, -4.88472193e-01, 1.22823875e+02, 0.00000000e+00
2.94590835e-02, -2.67458856e-02, -4.88752574e-01, 1.23010460e+02, 0.00000000e+00
2.92592067e-02, -2.67263167e-02, -4.88347858e-01, 1.21624779e+02, 0.00000000e+00
