
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ]
1.01490403e-02, 1.94251388e-02, -5.32784522e-01
1.03493668e-02, 1.91287156e-02, -5.32956481e-01
9.54919960e-03, 1.91756859e-02, -5.34981251e-01
9.64990258e-03, 1.90174542e-02, -5.35089672e-01
9.82841663e-03, 1.87680684e-02, -5.35207748e-01
9.94319748e-03, 1.86467692e-02, -5.35190344e-01
1.00559415e-02, 1.85190532e-02, -5.35193801e-01
1.01307752e-02, 1.84731688e-02, -5.35103381e-01
1.02220913e-02, 1.83389336e-02, -5.35179734e-01
1.03018107e-02, 1.82401761e-02, -5.35202384e-01
1.03449561e-02, 1.82372723e-02, -5.35094142e-01
1.05170459e-02, 1.80621259e-02, -5.35052180e-01
1.05701713e-02, 1.80335492e-02, -5.34978390e-01
1.08060371e-02, 1.78688355e-02, -5.34741163e-01
1.06769828e-02, 1.79861821e-02, -5.34806073e-01
1.09129380e-02, 1.77850500e-02, -5.34655571e-01
1.08986255e-02, 1.79316849e-02, -5.34344018e-01
1.08965365e-02, 1.78778786e-02, -5.34477890e-01
1.07752411e-02, 1.80772506e-02, -5.34326434e-01
1.06752999e-02, 1.83090735e-02, -5.34040570e-01
1.06712105e-02, 1.82243213e-02, -5.34253538e-01
1.06087616e-02, 1.84341837e-02, -5.33919990e-01
1.05328439e-02, 1.85501687e-02, -5.33846080e-01
1.04204658e-02, 1.87444910e-02, -5.33682764e-01
1.04540465e-02, 1.86360646e-02, -5.33851564e-01
1.04931854e-02, 1.88143831e-02, -5.33321917e-01
1.04952576e-02, 1.88682228e-02, -5.33187866e-01
1.04504693e-02, 1.89607218e-02, -5.33086896e-01
1.04313372e-02, 1.88061334e-02, -5.33506870e-01
9.99084953e-03, 1.95999257e-02, -5.32790124e-01
9.90008749e-03, 1.96500961e-02, -5.32912791e-01
9.60884523e-03, 1.98488962e-02, -5.33216476e-01
9.74903535e-03, 1.97544321e-02, -5.33067405e-01
9.50308423e-03, 1.98877994e-02, -5.33406198e-01
9.44271963e-03, 1.98848527e-02, -5.33574462e-01
1.02798473e-02, 1.92244761e-02, -5.32913744e-01
1.01756668e-02, 1.93395112e-02, -5.32917559e-01
1.00608049e-02, 1.94751453e-02, -5.32900870e-01
1.03171896e-02, 1.90974716e-02, -5.33116817e-01
9.40700993e-03, 1.95072349e-02, -5.34570336e-01
9.50466003e-03, 1.92859732e-02, -5.34837127e-01
9.71305463e-03, 1.89803578e-02, -5.35009563e-01
9.55709070e-03, 1.92375723e-02, -5.34812391e-01
9.84615088e-03, 1.87684242e-02, -5.35159528e-01
1.00201489e-02, 1.86182074e-02, -5.35052896e-01
9.94929485e-03, 1.86976176e-02, -5.35052776e-01
1.01399245e-02, 1.85095239e-02, -5.34992218e-01
1.02605978e-02, 1.83930751e-02, -5.34947813e-01
1.04597602e-02, 1.81590561e-02, -5.34974039e-01
1.05195045e-02, 1.81353148e-02, -5.34871101e-01
1.07310396e-02, 1.79836527e-02, -5.34667730e-01
1.08384285e-02, 1.78992022e-02, -5.34582257e-01
1.06032491e-02, 1.81002710e-02, -5.34731030e-01
1.07737528e-02, 1.80227682e-02, -5.34460366e-01
1.06947292e-02, 1.81090496e-02, -5.34465790e-01
1.05962902e-02, 1.83952283e-02, -5.34046173e-01
1.05862515e-02, 1.83329191e-02, -5.34221530e-01
1.05931377e-02, 1.82770826e-02, -5.34336388e-01
1.05203381e-02, 1.85112767e-02, -5.33972263e-01
1.02931326e-02, 1.88585985e-02, -5.33750713e-01
1.03687746e-02, 1.87428594e-02, -5.33824623e-01
1.03679309e-02, 1.86879579e-02, -5.33957839e-01
1.03863180e-02, 1.88985672e-02, -5.33406615e-01
1.03982398e-02, 1.89612284e-02, -5.33225179e-01
1.03063835e-02, 1.88970491e-02, -5.33623636e-01
9.98291560e-03, 1.95438433e-02, -5.32945037e-01
9.87072568e-03, 1.96310747e-02, -5.33036649e-01
9.57584102e-03, 1.98253561e-02, -5.33360779e-01
9.71375033e-03, 1.97132286e-02, -5.33259809e-01
9.49782599e-03, 1.98153667e-02, -5.33592999e-01
9.41174105e-03, 1.97969712e-02, -5.33866763e-01
9.37466044e-03, 1.97161902e-02, -5.34158468e-01
1.02419537e-02, 1.92136504e-02, -5.33040762e-01
1.01465648e-02, 1.93105359e-02, -5.33064365e-01
1.00705558e-02, 1.94204897e-02, -5.33005118e-01
1.02851121e-02, 1.90663412e-02, -5.33276737e-01
9.41705238e-03, 1.95626561e-02, -5.34411311e-01
9.46857873e-03, 1.94465499e-02, -5.34550607e-01
9.71639156e-03, 1.90200415e-02, -5.34905910e-01
9.80845280e-03, 1.88762639e-02, -5.35003006e-01
9.60836839e-03, 1.92197319e-02, -5.34718037e-01
9.86700505e-03, 1.88198667e-02, -5.34981072e-01
1.00363279e-02, 1.86723676e-02, -5.34880638e-01
1.01571251e-02, 1.85427982e-02, -5.34866989e-01
1.02706254e-02, 1.84186976e-02, -5.34859896e-01
1.03887748e-02, 1.82698555e-02, -5.34899354e-01
1.04416907e-02, 1.82683319e-02, -5.34761608e-01
1.06624132e-02, 1.80779994e-02, -5.34626126e-01
1.05293784e-02, 1.82146113e-02, -5.34655571e-01
1.05917370e-02, 1.82226859e-02, -5.34469903e-01
1.04897246e-02, 1.84791703e-02, -5.34130633e-01
1.04407910e-02, 1.84539966e-02, -5.34321427e-01
1.05065508e-02, 1.83294266e-02, -5.34442902e-01
1.04138386e-02, 1.85950380e-02, -5.34056902e-01
1.01862941e-02, 1.89426579e-02, -5.33835530e-01
1.02232499e-02, 1.88639145e-02, -5.33924699e-01
1.03167612e-02, 1.86878406e-02, -5.34094810e-01
1.02792671e-02, 1.89828239e-02, -5.33491552e-01
1.02175036e-02, 1.89743545e-02, -5.33676624e-01
9.96767450e-03, 1.95097215e-02, -5.33067107e-01
9.85902548e-03, 1.95791796e-02, -5.33191681e-01
9.60023515e-03, 1.97574422e-02, -5.33457518e-01
9.74659249e-03, 1.96427982e-02, -5.33340037e-01
9.57759190e-03, 1.97143592e-02, -5.33620954e-01
9.47166793e-03, 1.97334699e-02, -5.33858120e-01
9.41602699e-03, 1.97201613e-02, -5.34038603e-01
1.02098603e-02, 1.91822797e-02, -5.33201337e-01
1.01236543e-02, 1.92896463e-02, -5.33175468e-01
9.98777989e-03, 1.94355678e-02, -5.33190250e-01
1.02039054e-02, 1.90985929e-02, -5.33416808e-01
9.45563614e-03, 1.96072534e-02, -5.34202158e-01
9.55498964e-03, 1.93595365e-02, -5.34527421e-01
9.51625500e-03, 1.94625929e-02, -5.34385145e-01
9.79855563e-03, 1.89710595e-02, -5.34803271e-01
9.69712902e-03, 1.91124920e-02, -5.34736753e-01
9.70525108e-03, 1.91478636e-02, -5.34630775e-01
9.91456583e-03, 1.88387223e-02, -5.34809232e-01
1.00078154e-02, 1.87435690e-02, -5.34787059e-01
1.00909323e-02, 1.86729990e-02, -5.34733355e-01
1.01918792e-02, 1.85611732e-02, -5.34730315e-01
1.02712503e-02, 1.84746925e-02, -5.34724593e-01
1.03678247e-02, 1.83824524e-02, -5.34686744e-01
1.04261180e-02, 1.83611587e-02, -5.34581959e-01
1.03831440e-02, 1.85630154e-02, -5.34215331e-01
1.03891818e-02, 1.84522998e-02, -5.34463286e-01
1.03341378e-02, 1.85379200e-02, -5.34406006e-01
1.00794416e-02, 1.90269072e-02, -5.33920050e-01
1.02315070e-02, 1.87946893e-02, -5.34067750e-01
1.01343133e-02, 1.88877564e-02, -5.34105420e-01
1.02860443e-02, 1.86558552e-02, -5.34253120e-01
1.01721371e-02, 1.90672427e-02, -5.33576369e-01
1.01140440e-02, 1.90882925e-02, -5.33681273e-01
9.88865923e-03, 1.95127781e-02, -5.33270776e-01
9.70039889e-03, 1.96412522e-02, -5.33467233e-01
9.83721856e-03, 1.95172019e-02, -5.33397496e-01
9.56790335e-03, 1.96954012e-02, -5.33692002e-01
9.71127395e-03, 1.95574723e-02, -5.33638060e-01
9.54377186e-03, 1.96584947e-02, -5.33844352e-01
9.49689001e-03, 1.96405593e-02, -5.34012437e-01
1.01284822e-02, 1.92146841e-02, -5.33341348e-01
1.00374585e-02, 1.93426050e-02, -5.33279300e-01
1.00966385e-02, 1.91831961e-02, -5.33501506e-01
9.52932518e-03, 1.95428804e-02, -5.34158766e-01
9.62039921e-03, 1.93196945e-02, -5.34447849e-01
9.59292240e-03, 1.94413699e-02, -5.34230947e-01
9.76845063e-03, 1.90537777e-02, -5.34686387e-01
9.67835449e-03, 1.92319192e-02, -5.34502387e-01
9.78949200e-03, 1.91107281e-02, -5.34494579e-01
9.96760838e-03, 1.88510977e-02, -5.34637988e-01
1.00925015e-02, 1.87277589e-02, -5.34598470e-01
1.02238730e-02, 1.85923986e-02, -5.34570336e-01
1.02551272e-02, 1.86239984e-02, -5.34411550e-01
1.00336568e-02, 1.91201773e-02, -5.33819914e-01
9.95422248e-03, 1.91184469e-02, -5.34036160e-01
1.00489771e-02, 1.89948026e-02, -5.34078002e-01
1.02009038e-02, 1.87626015e-02, -5.34226000e-01
1.01037994e-02, 1.88557375e-02, -5.34263194e-01
1.00347353e-02, 1.91749614e-02, -5.33686399e-01
9.78091359e-03, 1.95193142e-02, -5.33543050e-01
9.88363568e-03, 1.94070712e-02, -5.33536315e-01
9.62308515e-03, 1.95956361e-02, -5.33782423e-01
9.74741299e-03, 1.94611885e-02, -5.33771098e-01
9.58597101e-03, 1.95777826e-02, -5.33924103e-01
9.54890810e-03, 1.95689015e-02, -5.34044325e-01
1.00496132e-02, 1.92678981e-02, -5.33425033e-01
1.00179175e-02, 1.92364492e-02, -5.33584714e-01
9.64580290e-03, 1.94304846e-02, -5.34115613e-01
9.69355647e-03, 1.92846693e-02, -5.34335911e-01
9.64291766e-03, 1.93747897e-02, -5.34256160e-01
9.86656360e-03, 1.89892706e-02, -5.34578323e-01
9.84550733e-03, 1.91167369e-02, -5.34330547e-01
9.96871665e-03, 1.89071242e-02, -5.34501314e-01
1.01487394e-02, 1.87079832e-02, -5.34495354e-01
1.00650368e-02, 1.88136771e-02, -5.34466863e-01
9.92686581e-03, 1.92049779e-02, -5.33902943e-01
9.94240679e-03, 1.90791730e-02, -5.34161270e-01
9.86622553e-03, 1.91963520e-02, -5.34085274e-01
