[Data],,
X [ m ], Y [ m ], Z [ m ]
0.0361756198 ,-0.0154169332 ,-0.4833292660 
0.0360758752 ,-0.0153864482 ,-0.4834513070 
0.0359474607 ,-0.0150787709 ,-0.4832126500 
0.0358205773 ,-0.0150280846 ,-0.4832883780 
0.0359792151 ,-0.0150281852 ,-0.4830941260 
0.0358558446 ,-0.0149812764 ,-0.4831565920 
0.0355588011 ,-0.0152687142 ,-0.4841745790 
0.0355993211 ,-0.0152269015 ,-0.4840260450 
0.0356812291 ,-0.0153485853 ,-0.4841014740 
0.0356379040 ,-0.0153880259 ,-0.4842458960 
0.0355144180 ,-0.0153074069 ,-0.4843232930 
0.0362403393 ,-0.0157695506 ,-0.4835239050 
0.0361840054 ,-0.0158348102 ,-0.4836682080 
0.0361509509 ,-0.0156666376 ,-0.4836078880 
0.0361100323 ,-0.0155205308 ,-0.4835421440 
0.0360403955 ,-0.0157743748 ,-0.4838957190 
0.0360034592 ,-0.0156241348 ,-0.4838411510 
0.0360969976 ,-0.0157233085 ,-0.4837571080 
0.0360594764 ,-0.0159252230 ,-0.4839381280 
0.0361232162 ,-0.0158784874 ,-0.4838020800 
0.0358497128 ,-0.0159239210 ,-0.4843329190 
0.0358391702 ,-0.0157762635 ,-0.4842784400 
0.0359211415 ,-0.0158800408 ,-0.4841789310 
0.0358064137 ,-0.0156277549 ,-0.4842237230 
0.0358971618 ,-0.0157236941 ,-0.4841329460 
0.0348267443 ,-0.0158285759 ,-0.4862823490 
0.0348634608 ,-0.0160007998 ,-0.4863272010 
0.0347710960 ,-0.0156710073 ,-0.4862320130 
0.0188711751 ,-0.0191161688 ,-0.4824199380 
0.0187241640 ,-0.0191046242 ,-0.4823802110 
0.0187330339 ,-0.0190988276 ,-0.4825478790 
0.0189974681 ,-0.0191094410 ,-0.4822750690 
0.0188069455 ,-0.0190959573 ,-0.4822596010 
0.0198111963 ,-0.0179447364 ,-0.4812637570 
0.0199720524 ,-0.0178017523 ,-0.4812766610 
0.0197987147 ,-0.0177707039 ,-0.4812561270 
0.0201170463 ,-0.0176977869 ,-0.4812975530 
0.0202832371 ,-0.0177801643 ,-0.4813221400 
0.0202688836 ,-0.0176162217 ,-0.4813243450 
0.0201472361 ,-0.0175575204 ,-0.4813094440 
0.0199592784 ,-0.0175904110 ,-0.4812807440 
0.0187909696 ,-0.0186056811 ,-0.4814405740 
0.0188640971 ,-0.0184832923 ,-0.4813525380 
0.0186460167 ,-0.0185107403 ,-0.4813615380 
0.0184482615 ,-0.0184708014 ,-0.4813435380 
0.0184682216 ,-0.0185907893 ,-0.4814139600 
0.0193415005 ,-0.0162428934 ,-0.4824765320 
0.0194125772 ,-0.0162441749 ,-0.4826349020 
0.0191732589 ,-0.0162613448 ,-0.4826015830 
0.0195073839 ,-0.0162402261 ,-0.4824470280 
0.0209527556 ,-0.0167053789 ,-0.4839117530 
0.0210351013 ,-0.0165914521 ,-0.4838250280 
